case_id,paper_id,material,condition,material_type,lambda_ref,omega_log_K,theta_D_K,mu_star,expected_method,cost_tier_coreh
lam146,814602831179808769,"RM2B2C borocarbides: LaPt2B2C, YPd2B2C, YPt2B2C, LuNi2B2C (I4/mmm)",LaPt2B2C,重元素(SOC),0.78,182,220,,DFPT+SOC,1e3-1e4
lam147,814602831179808769,"RM2B2C borocarbides: LaPt2B2C, YPd2B2C, YPt2B2C, LuNi2B2C (I4/mmm)",LuNi2B2C,重元素(SOC),0.83,182,220,,DFPT+SOC,1e3-1e4
lam148,814602831179808769,"RM2B2C borocarbides: LaPt2B2C, YPd2B2C, YPt2B2C, LuNi2B2C (I4/mmm)",YPd2B2C,重元素(SOC),1.48,182,220,,DFPT+SOC,1e3-1e4
lam149,814602831179808769,"RM2B2C borocarbides: LaPt2B2C, YPd2B2C, YPt2B2C, LuNi2B2C (I4/mmm)",YPt2B2C,重元素(SOC),0.96,182,220,,DFPT+SOC,1e3-1e4
lam150,814617345912733702,Ca3Ir4Ge4 (noncentrosymmetric superconductor),(single),重元素(SOC),0.51,158.3,,,DFPT+SOC,1e3-1e4
lam151,814627375626059776,hexagonal BaSn5 (P6/mmm),(single),金属间化合物,0.96,76.1,,,DFPT-direct,1e3-1e4
lam152,814639645122887682,body-centered-tetragonal YC2 and LaC2 (CaC2-type dicarbides),LaC2 (CaC2-type),金属间化合物,0.54,300.12,,,DFPT-direct,1e3-1e4
lam153,814639645122887682,body-centered-tetragonal YC2 and LaC2 (CaC2-type dicarbides),YC2 (CaC2-type),金属间化合物,0.55,300.12,,,DFPT-direct,1e3-1e4
lam154,814647506360074241,Nb2InC (under biaxial strain),"Nb2InC, +10% tensile strain",金属间化合物,1.26,,,,DFPT-direct,1e3-1e4
lam155,814691620430544896,BeH2 (Cmcm and P4/nmm metallic phases under pressure),"BeH2 Cmcm 250 GPa, mu*=0.10",高压氢化物,0.63,2170,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam156,814691620430544896,BeH2 (Cmcm and P4/nmm metallic phases under pressure),"BeH2 P4/nmm 400 GPa, mu*=0.10",高压氢化物,0.65,2170,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam157,814721288294629376,"SrPtAs (hexagonal pnictide, P6/mmm)",(single),重元素(SOC),0.78,105.5,,,DFPT+SOC,1e3-1e4
lam158,817359063850418177,"2D MB6 monolayers (Mg,Ca,Ti,Y,Sc; ortho & hex)",hexagonal CaB6,2D/层状,0.87,413.8,,,DFPT+Wannier/EPW,1e3-1e4
lam159,817359063850418177,"2D MB6 monolayers (Mg,Ca,Ti,Y,Sc; ortho & hex)",hexagonal MgB6,2D/层状,0.46,413.8,,,DFPT+Wannier/EPW,1e3-1e4
lam160,817359063850418177,"2D MB6 monolayers (Mg,Ca,Ti,Y,Sc; ortho & hex)",hexagonal ScB6,2D/层状,0.6,413.8,,,DFPT+Wannier/EPW,1e3-1e4
lam161,817359063850418177,"2D MB6 monolayers (Mg,Ca,Ti,Y,Sc; ortho & hex)",hexagonal TiB6,2D/层状,0.4,413.8,,,DFPT+Wannier/EPW,1e3-1e4
lam162,817359063850418177,"2D MB6 monolayers (Mg,Ca,Ti,Y,Sc; ortho & hex)",type-I orthorhombic CaB6,2D/层状,0.57,413.8,,,DFPT+Wannier/EPW,1e3-1e4
lam163,817359063850418177,"2D MB6 monolayers (Mg,Ca,Ti,Y,Sc; ortho & hex)",type-I orthorhombic MgB6,2D/层状,0.59,413.8,,,DFPT+Wannier/EPW,1e3-1e4
lam164,817359063850418177,"2D MB6 monolayers (Mg,Ca,Ti,Y,Sc; ortho & hex)",type-II orthorhombic (2x1) TiB6,2D/层状,0.92,413.8,,,DFPT+Wannier/EPW,1e3-1e4
lam165,817359063850418177,"2D MB6 monolayers (Mg,Ca,Ti,Y,Sc; ortho & hex)",type-III orthorhombic (2x1) YB6,2D/层状,1,413.8,,,DFPT+Wannier/EPW,1e3-1e4
lam166,817398434037235713,"Bi4I4 high-pressure phases (epsilon-P31c, zeta-P4/mmm)","epsilon-Bi4I4 (P31c), 15 GPa",重元素(SOC),0.67,86.6,,,DFPT+SOC,1e3-1e4
lam167,817398434037235713,"Bi4I4 high-pressure phases (epsilon-P31c, zeta-P4/mmm)","zeta-Bi4I4 (P4/mmm), 18 GPa",重元素(SOC),0.72,86.6,,,DFPT+SOC,1e3-1e4
lam168,867746414900282231,"MgB2 (multiband, two-gap analysis)",(single),金属间化合物,1.01,652,,,DFPT-direct,1e3-1e4
lam169,867747199868470067,"OsN2 (marcasite-like Pnnm), N-N covalent-bond-mediated SC",OsN2 0.5 holes/cell doped (Os0.75Re0.25N2),重元素(SOC),0.49,280,,,DFPT+SOC,1e3-1e4
lam170,867747555490923056,stoichiometric Li2B3C (MgB2-analogue),(single),金属间化合物,1.53,530.2,,,DFPT-direct,1e3-1e4
lam171,867747957653373759,LaO0.5F0.5BiS2 (layered BiS2 superconductor),(single),重元素(SOC),0.85,,260,,DFPT+SOC,1e3-1e4
lam172,867750354362564780,"CS2H10 (CH4-intercalated H3S, host-guest hydride) under pressure","Cmc2_1, 150 GPa, mu*=0.10 (Allen-Dynes)",高压氢化物,2.01,799,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam173,867750354362564780,"CS2H10 (CH4-intercalated H3S, host-guest hydride) under pressure","P-3m1, 100 GPa, mu*=0.10 (Allen-Dynes)",高压氢化物,0.63,799,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam174,867750354362564780,"CS2H10 (CH4-intercalated H3S, host-guest hydride) under pressure","P3m1, 100 GPa, mu*=0.10 (Allen-Dynes)",高压氢化物,1.21,799,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam175,867750354362564780,"CS2H10 (CH4-intercalated H3S, host-guest hydride) under pressure","P3m1, 50 GPa, mu*=0.10 (Allen-Dynes)",高压氢化物,1.51,799,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam176,867750354362564780,"CS2H10 (CH4-intercalated H3S, host-guest hydride) under pressure","Pm, 200 GPa, mu*=0.10 (Allen-Dynes)",高压氢化物,0.69,799,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam177,867750509996409561,Honeycomb borophene h-B2 on Al(111); monolayer AlB2; bulk AlB2,"CeH10 (Fm-3m) 94 GPa, mu*=0.10",2D/层状,1.952,206.8,,,DFPT+Wannier/EPW,1e3-1e4
lam178,867750509996409561,Honeycomb borophene h-B2 on Al(111); monolayer AlB2; bulk AlB2,"CeH9 (F-43m) 94 GPa, mu*=0.10",2D/层状,1.596,206.8,,,DFPT+Wannier/EPW,1e3-1e4
lam179,867750520855462386,"Carbon sodalite C6 and XC6 (NaC6, AlC6, ClC6)",CaAlSi AF-like stacking,金属间化合物,0.8,471,,,DFPT-direct,1e3-1e4
lam180,867751696124608720,Nb(1-x)B2 (NbB2 and vacancy series),NbB1.93 (B-deficient),金属间化合物,0.212,494,,,DFPT-direct,1e3-1e4
lam181,867751696124608720,Nb(1-x)B2 (NbB2 and vacancy series),NbB2 (stoichiometric),金属间化合物,0.294,494,,,DFPT-direct,1e3-1e4
lam182,867752213492007190,Rock-salt LaO (bulk + strained/doped + thin films),"bulk LaO, 4% biaxial tensile strain",金属间化合物,0.818,224.3,,,DFPT-direct,1e3-1e4
lam183,867752213492007190,Rock-salt LaO (bulk + strained/doped + thin films),"bulk LaO, zero strain (epsilon=0%)",金属间化合物,0.653,224.3,,,DFPT-direct,1e3-1e4
lam184,867753789745004576,bulk 1T-MoS2 (under pressure 0-25 GPa),"1T-MoS2, 0 GPa",金属间化合物,0.6578,,600,,DFPT-direct,1e3-1e4
lam185,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 1H, 20 kbar",金属间化合物,0.7,160,,,DFPT-direct,1e3-1e4
lam186,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 1H, 40 kbar",金属间化合物,0.7,160,,,DFPT-direct,1e3-1e4
lam187,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 1H, P=0",金属间化合物,0.73,160,,,DFPT-direct,1e3-1e4
lam188,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 2H, 20 kbar",金属间化合物,0.47,160,,,DFPT-direct,1e3-1e4
lam189,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 2H, 40 kbar",金属间化合物,0.43,160,,,DFPT-direct,1e3-1e4
lam190,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 2H, P=0",金属间化合物,0.6,160,,,DFPT-direct,1e3-1e4
lam191,867754756150395675,"HPC3 (2D hydrogenated phosphorus carbide monolayer, H1P2C6)","HPC3, 1% biaxial strain",2D/层状,1.05,482.84,,,DFPT+Wannier/EPW,1e3-1e4
lam192,867754756150395675,"HPC3 (2D hydrogenated phosphorus carbide monolayer, H1P2C6)","HPC3, 2% biaxial strain",2D/层状,1.24,482.84,,,DFPT+Wannier/EPW,1e3-1e4
lam193,867754756150395675,"HPC3 (2D hydrogenated phosphorus carbide monolayer, H1P2C6)","HPC3, 3% biaxial strain (f1f2 corrected)",2D/层状,1.65,482.84,,,DFPT+Wannier/EPW,1e3-1e4
lam194,867754756150395675,"HPC3 (2D hydrogenated phosphorus carbide monolayer, H1P2C6)","HPC3, unstrained",2D/层状,0.95,482.84,,,DFPT+Wannier/EPW,1e3-1e4
lam195,867756414980849698,"Zr2Ir (body-centered tetragonal, I4/mcm)",Zr2Ir with SOC,重元素(SOC),0.93,122,214,,DFPT+SOC,1e3-1e4
lam196,867756414980849698,"Zr2Ir (body-centered tetragonal, I4/mcm)",Zr2Ir without SOC,重元素(SOC),0.96,122,214,,DFPT+SOC,1e3-1e4
lam197,867757683732643869,"K2Cr3As3 (noncentrosymmetric quasi-1D, P-6m2)",(single),金属间化合物,3,102.2,,,DFPT-direct,1e3-1e4
lam198,867757693798973751,electron-doped monolayer phosphorene (black phosphorus),I-4m2 SnH8 250 GPa (mu*=0.10),2D/层状,1.139,,,,DFPT+Wannier/EPW,1e3-1e4
lam199,867760184875811501,"(Ce,La)H9 (ordered P-6m2, Ce:La=1, 200 GPa)",(single),高压氢化物,3,327,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam200,867760796275311043,"compressed solid benzene molecular crystal (C6H6, P2_1/c) at 180-200 G","benzene P2_1/c, 190 GPa, mu*=0.10",金属间化合物,0.68,565.1,,,DFPT-direct,1e3-1e4
lam201,867761305644171944,"Doped stanene (Li- and Ca-decorated, LiSn6 / CaSn6)",CaSn6 (Ca-decorated stanene),2D/层状,0.54,60.97,,,DFPT+Wannier/EPW,1e3-1e4
lam202,867761305644171944,"Doped stanene (Li- and Ca-decorated, LiSn6 / CaSn6)",LiSn6 (Li-decorated stanene),2D/层状,0.65,60.97,,,DFPT+Wannier/EPW,1e3-1e4
lam203,867761419615994028,"beryllium-based alloys (Be-Pb, Be-Al, Be-In, Be-Nb, Tl-Pb, ternary Be-",Be-Al 24:976,金属间化合物,0.427,,662,,DFPT-direct,1e3-1e4
lam204,867761419615994028,"beryllium-based alloys (Be-Pb, Be-Al, Be-In, Be-Nb, Tl-Pb, ternary Be-",Be-In 31:69,金属间化合物,0.627,,662,,DFPT-direct,1e3-1e4
lam205,867761419615994028,"beryllium-based alloys (Be-Pb, Be-Al, Be-In, Be-Nb, Tl-Pb, ternary Be-",Be-Nb 23:77,金属间化合物,0.684,,662,,DFPT-direct,1e3-1e4
lam206,867761419615994028,"beryllium-based alloys (Be-Pb, Be-Al, Be-In, Be-Nb, Tl-Pb, ternary Be-",Be43Bi20Pb37 (ternary),金属间化合物,1.015,,662,,DFPT-direct,1e3-1e4
lam207,867761419615994028,"beryllium-based alloys (Be-Pb, Be-Al, Be-In, Be-Nb, Tl-Pb, ternary Be-",Be43Pb57,金属间化合物,0.988,,662,,DFPT-direct,1e3-1e4
lam208,867761622720971643,"Monolayer Mg2B4C2 (2D MgB2-like, layer group p-3m1)",(single),2D/层状,1.4,506,,,DFPT+Wannier/EPW,1e3-1e4
lam209,867761707680793089,fcc Yttrium (Y) under pressure/compression,"fcc Y, v=0.90 (P~6 GPa)",简单/元素金属,0.75,,,,DFPT-direct,1e2-1e3
lam210,867762315619991562,K2Mo3As3,"K2Mo3As3, mu*=0.12",金属间化合物,1.92,123,,,DFPT-direct,1e3-1e4
lam211,867763770720518898,"C2/m KYH8 (K-Y-H ternary hydride, high pressure)","C2/m KYH8, 200 GPa",高压氢化物,1.478,1342.505,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam212,867763770720518898,"C2/m KYH8 (K-Y-H ternary hydride, high pressure)","C2/m KYH8, 250 GPa",高压氢化物,1.214,1342.505,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam213,867763770720518898,"C2/m KYH8 (K-Y-H ternary hydride, high pressure)","C2/m KYH8, 300 GPa",高压氢化物,2.09,1342.505,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam214,867764510792876439,Bi3Ni (bulk),"Bi3Ni, SOC DOS (lambda from N_expt/N_calc)",重元素(SOC),1.23,,127.77,,DFPT+SOC,1e3-1e4
lam215,867764510792876439,Bi3Ni (bulk),"Bi3Ni, non-SOC DOS (lambda from N_expt/N_calc)",重元素(SOC),0.842,,127.77,,DFPT+SOC,1e3-1e4
lam216,867765680290660591,"Tin hydrides SnH8, SnH12, SnH14 (also SnH4), high pressure","C2/m-SnH12, 250 GPa",高压氢化物,1.25,919,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam217,867765680290660591,"Tin hydrides SnH8, SnH12, SnH14 (also SnH4), high pressure","C2/m-SnH14, 300 GPa",高压氢化物,1.187,919,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam218,867765680290660591,"Tin hydrides SnH8, SnH12, SnH14 (also SnH4), high pressure","I-4m2-SnH8, 220 GPa",高压氢化物,1.188,919,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam219,867765680290660591,"Tin hydrides SnH8, SnH12, SnH14 (also SnH4), high pressure","I4/mmm-SnH4, 220 GPa",高压氢化物,1.18,919,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam220,867766648835146368,"NbN polytypes (delta, epsilon, WC, delta-prime)",delta-NbN (sigma=0.18 Ry),金属间化合物,0.98,269,637,,DFPT-direct,1e3-1e4
lam221,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC CdAs,金属间化合物,1.426,,,,DFPT-direct,1e3-1e4
lam222,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC CdN,金属间化合物,1.314,,,,DFPT-direct,1e3-1e4
lam223,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC CdP,金属间化合物,1.266,,,,DFPT-direct,1e3-1e4
lam224,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC CuSb,金属间化合物,1.016,,,,DFPT-direct,1e3-1e4
lam225,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC HfP,金属间化合物,0.67,,,,DFPT-direct,1e3-1e4
lam226,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC HgSb,金属间化合物,0.956,,,,DFPT-direct,1e3-1e4
lam227,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC ZnSb,金属间化合物,1.387,,,,DFPT-direct,1e3-1e4
lam228,867768106380952491,"Ternary lanthanum borohydrides (LaBH7, LaBH8)","Fm-3m LaBH8, 100 GPa",高压氢化物,1.11,837,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam229,867768106380952491,"Ternary lanthanum borohydrides (LaBH7, LaBH8)","Fm-3m LaBH8, 200 GPa",高压氢化物,0.72,837,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam230,867768106380952491,"Ternary lanthanum borohydrides (LaBH7, LaBH8)","Fm-3m LaBH8, 50 GPa (Allen-Dynes)",高压氢化物,2.29,837,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam231,867768106380952491,"Ternary lanthanum borohydrides (LaBH7, LaBH8)","Fm-3m LaBH8, 55 GPa (Allen-Dynes)",高压氢化物,1.97,837,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam232,867768106380952491,"Ternary lanthanum borohydrides (LaBH7, LaBH8)","P-3m1 LaBH7, 110 GPa",高压氢化物,1.46,837,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam233,867768886924149296,"H3S and H3P, Im-3m bcc, a=3.0 A (~220 GPa)","Im-3m H3P, a=3.0 A (~220 GPa), mu*=0 (H-point unstable modes omitted)",金属间化合物,1.66,1580,,,DFPT-direct,1e3-1e4
lam234,867768886924149296,"H3S and H3P, Im-3m bcc, a=3.0 A (~220 GPa)","Im-3m H3S, a=3.0 A (~220 GPa), mu*=0",金属间化合物,1.38,1580,,,DFPT-direct,1e3-1e4
lam235,867768967756775707,"Ca-VI (orthorhombic Pnma, high pressure)",monolayer AlB2 (single Al on honeycomb B),简单/元素金属,1.01,396,,,DFPT-direct,1e2-1e3
lam236,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",Cmcm-AtH2 50 GPa,简单/元素金属,0.57,834,,,DFPT-direct,1e2-1e3
lam237,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",Cmmm-AtH4 250 GPa,简单/元素金属,0.9,834,,,DFPT-direct,1e2-1e3
lam238,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",P6/mmm-AtH4 100 GPa,简单/元素金属,0.82,834,,,DFPT-direct,1e2-1e3
lam239,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",P6/mmm-AtH4 200 GPa with SOC,简单/元素金属,0.86,834,,,DFPT-direct,1e2-1e3
lam240,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",P6/mmm-AtH4 200 GPa without SOC,简单/元素金属,0.76,834,,,DFPT-direct,1e2-1e3
lam241,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",Pnma-AtH2 200 GPa,简单/元素金属,0.56,834,,,DFPT-direct,1e2-1e3
lam242,867769693774021285,Field-effect hole-doped hydrogenated diamond (111) surface (FET geomet,"H-diamond(111) FET n=6e14 cm-2, full-BZ Wannier",简单/元素金属,0.81,971,,,DFPT-direct,1e2-1e3
lam243,867769693774021285,Field-effect hole-doped hydrogenated diamond (111) surface (FET geomet,"H-diamond(111) FET n=6e14 cm-2, q=Gamma approx",简单/元素金属,1.09,971,,,DFPT-direct,1e2-1e3
lam244,867770734955462927,high-pressure tin-sulfide compounds: gamma-SnS (Pm-3m) and Sn3S4 (I-43,Sn3S4 I-43d 30 GPa,金属间化合物,1.2,225,,,DFPT-direct,1e3-1e4
lam245,867770734955462927,high-pressure tin-sulfide compounds: gamma-SnS (Pm-3m) and Sn3S4 (I-43,gamma-SnS Pm-3m 40 GPa,金属间化合物,0.77,225,,,DFPT-direct,1e3-1e4
lam246,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",BaC6 0 GPa,金属间化合物,0.38,,,,DFPT-direct,1e3-1e4
lam247,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",BaC6 8 GPa,金属间化合物,0.45,,,,DFPT-direct,1e3-1e4
lam248,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",CaC6 0 GPa,金属间化合物,0.83,,,,DFPT-direct,1e3-1e4
lam249,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",CaC6 5 GPa,金属间化合物,0.845,,,,DFPT-direct,1e3-1e4
lam250,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",SrC6 0 GPa,金属间化合物,0.54,,,,DFPT-direct,1e3-1e4
lam251,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",SrC6 8 GPa,金属间化合物,0.65,,,,DFPT-direct,1e3-1e4
lam252,867772526099431971,"Monolayer Mo2C MXene (2H phase, bare/O/H/OH terminated; also Ti2C, Ti2",Mo2C bare 2H MXene,2D/层状,0.55554,179.701,,,DFPT+Wannier/EPW,1e3-1e4
lam253,867772526099431971,"Monolayer Mo2C MXene (2H phase, bare/O/H/OH terminated; also Ti2C, Ti2","Mo2C(OH)2 (OH-terminated 2H, unstable)",2D/层状,1.9296,179.701,,,DFPT+Wannier/EPW,1e3-1e4
lam254,867772526099431971,"Monolayer Mo2C MXene (2H phase, bare/O/H/OH terminated; also Ti2C, Ti2","Mo2CH2 (H-terminated 2H, 1% strain)",2D/层状,0.73205,179.701,,,DFPT+Wannier/EPW,1e3-1e4
lam255,867772526099431971,"Monolayer Mo2C MXene (2H phase, bare/O/H/OH terminated; also Ti2C, Ti2",Mo2CO2 (O-terminated 2H),2D/层状,0.23134,179.701,,,DFPT+Wannier/EPW,1e3-1e4
lam256,867772526099431971,"Monolayer Mo2C MXene (2H phase, bare/O/H/OH terminated; also Ti2C, Ti2",Ti2C monolayer,2D/层状,0.4022,179.701,,,DFPT+Wannier/EPW,1e3-1e4
lam257,867772751660712031,Mo3Sb7,"Mo3Sb7, mu*=0.10",金属间化合物,0.54,143,,,DFPT-direct,1e3-1e4
lam258,867773664412566427,B2C single-layer (2D monolayer),"B2C monolayer, mu*=0.10",2D/层状,0.92,314.8,,,DFPT+Wannier/EPW,1e3-1e4
lam259,867774094156759483,"boronitride superconductors LaMBN (M=Ni, Pt)",LaNiBN,金属间化合物,0.52,,,,DFPT-direct,1e3-1e4
lam260,867774094156759483,"boronitride superconductors LaMBN (M=Ni, Pt)",LaPtBN,金属间化合物,0.56,,,,DFPT-direct,1e3-1e4
lam261,867774180848828479,Non-centrosymmetric LaNiC2,(single),金属间化合物,0.52,297.8,,,DFPT-direct,1e3-1e4
lam262,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",beta'-Nb4N5 (tetragonal I4/m),金属间化合物,0.92,249,,,DFPT-direct,1e3-1e4
lam263,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",beta1-Nb2N (trigonal P-31m),金属间化合物,0.36,249,,,DFPT-direct,1e3-1e4
lam264,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",beta2-Nb2N (trigonal P-3m1),金属间化合物,0.57,249,,,DFPT-direct,1e3-1e4
lam265,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",beta3-Nb2N (hexagonal P63/mmc),金属间化合物,0.47,249,,,DFPT-direct,1e3-1e4
lam266,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",beta4-Nb2N (orthorhombic Pnnm),金属间化合物,0.46,249,,,DFPT-direct,1e3-1e4
lam267,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",gamma-Nb4N3 (tetragonal I4/mmm),金属间化合物,0.68,249,,,DFPT-direct,1e3-1e4
lam268,884073293311640172,Nb4CoSi and Ta4CoSi (ternary silicides),Nb4CoSi,重元素(SOC),0.72,209,,,DFPT+SOC,1e3-1e4
lam269,884073293311640172,Nb4CoSi and Ta4CoSi (ternary silicides),Ta4CoSi,重元素(SOC),0.63,209,,,DFPT+SOC,1e3-1e4
lam270,923643931596423577,"TlTaSe2 (nodal-line semimetal, P-6m2), anisotropic SC",(single),重元素(SOC),0.97,141.13,,,DFPT+SOC,1e3-1e4
lam271,938859326162862687,Ca-intercalated AA-stacking bilayer graphene C2CaC2,"C2CaC2 AA-stacking, -2% biaxial strain",2D/层状,0.86,470.6,,,DFPT+Wannier/EPW,1e3-1e4
lam272,938859326162862687,Ca-intercalated AA-stacking bilayer graphene C2CaC2,"C2CaC2 AA-stacking, -4% biaxial strain",2D/层状,1.11,470.6,,,DFPT+Wannier/EPW,1e3-1e4
lam273,938859326162862687,Ca-intercalated AA-stacking bilayer graphene C2CaC2,"C2CaC2 AA-stacking, unstrained",2D/层状,0.75,470.6,,,DFPT+Wannier/EPW,1e3-1e4
lam274,943000233191669804,"Elemental scandium (high pressure, Sc-III/IV/V)","Sc-III, 100 GPa, mu*=0.10",简单/元素金属,0.79,261,,,DFPT-direct,1e2-1e3
lam275,943000233191669804,"Elemental scandium (high pressure, Sc-III/IV/V)","Sc-IV, 170 GPa, mu*=0.10",简单/元素金属,1.11,261,,,DFPT-direct,1e2-1e3
lam276,943000233191669804,"Elemental scandium (high pressure, Sc-III/IV/V)","Sc-V, 260 GPa, mu*=0.10",简单/元素金属,1.12,261,,,DFPT-direct,1e2-1e3
